"","all1991c","all1993c","all1996c","all1999c","all2002c","all2005c","all2008c","all2011c","all2014c","all2017c"
"(Intercept)",3.41985098782871,1.91499394307559,2.92763477120574,2.06266335063639,1.64097671013408,1.5253736144533,2.35454775941523,1.59800015879656,1.69384375427879,0.78675891915453
"Householder.sexMale",-0.217935201228324,-0.148705404779076,-0.127032214234404,-0.131833806294162,-0.0854995013545205,-0.0995948741053807,-0.116414652534921,-0.100853440010519,-0.0933167357741481,-0.0482630473754415
"Householder.age",-0.0127268074822745,-0.0091494643087107,-0.00931663471834085,-0.0107162492926979,-0.00796632585445092,-0.00818082015330227,-0.00736695633363038,-0.00652839943943266,-0.00404623897553485,-0.00365640258569692
"Householder.hispanic.originNot hispanic",-0.123302641984783,-0.193187616854043,-0.261286272012279,-0.0939000806676721,-0.0679300427091857,-0.0699083351067905,-0.0570393603308314,-0.0794882650511261,-0.191904326007151,-0.102575555082514
"Duration.of.stay.as.of.2017",0.20029265176446,0.147855016589696,0.108758352011427,0.165840407085348,0.149153952893574,0.158348338558241,0.198144600407773,0.227222735202153,0.325552986361037,0.189287194986143
"Number.of.units10-19 units",0.893830850632416,0.770619107661456,0.49308812163101,0.687955740529271,0.625422069386572,0.502891082546389,0.378596622452548,0.348579453627156,0.432222709966307,0.316860391290796
"Number.of.units100+ units",0.742599120029522,0.869604749983052,0.464096291024129,0.463817031889878,0.580823239375076,0.401402601675906,0.295305340414292,0.231653715543509,0.352627044730411,0.248610994681906
"Number.of.units2 units",-0.100881898095824,0.0487006600612893,-0.0765437760693864,-0.134198780730557,0.0171419995188075,-0.108380798752407,-0.14682129851353,-0.0392410981465953,0.0232567306356398,-0.0730567226297257
"Number.of.units20-49 units",0.933274484881818,0.802407944983266,0.695173778362294,0.593723575654373,0.70650866135629,0.63971960081416,0.417119855460456,0.444839279425658,0.489518063586749,0.389675090429897
"Number.of.units3-5 units",0.201445414364694,0.149451792002843,0.0222674153048813,0.0897279704609207,0.129120760272665,-6.70552327170111e-05,-0.00758790650061402,0.0505317418554214,0.0336983150515969,0.0517227023193699
"Number.of.units50-99 units",0.844605364582258,0.790937967608795,0.471770745745407,0.485750777138461,0.587121665836614,0.449537129725405,0.301970842993827,0.399569829219911,0.423096644021327,0.303760785273011
"Number.of.units6-9 units",0.649691849018764,0.76019881350006,0.361607514795155,0.463969898742425,0.628561110780178,0.371544542342346,0.230440525814771,0.435296843717931,0.387877495805904,0.183698317416925
"Owner.in.buildingYes",-0.464106928634528,-0.498729624002818,-0.462874974524351,-0.408366007076834,-0.333945478604824,-0.35799590198302,-0.232076045732518,-0.332899569391465,-0.358901613158613,-0.241870332645131
"Number.of.stories11-20 stories",-0.746069583169977,-0.816010308628441,-0.642824138196735,-0.501193367044031,-0.440789102398704,-0.510270016410217,-0.382495431329668,-0.268530077515739,-0.212089168885717,0.0271258662855483
"Number.of.stories21+ stories",-0.988109005241744,-1.03305814498803,-0.719658205936548,-0.701032807182704,-0.659670610440889,-0.553306686179439,-0.482442070143639,-0.312233941548875,-0.362599576828719,-0.32895214265707
"Number.of.stories3-5 stories",0.126544435053404,0.133826735868003,0.195827998025569,0.0798377216914396,0.0929453869435052,0.0997272871362169,0.0924426474468221,0.136949650853932,0.0951050180198211,0.143939882028529
"Number.of.stories6-10 stories",-0.226326912875189,-0.221543285070706,-0.177303303779736,-0.0646119244140068,-0.0597162714029573,-0.104968067162082,-0.0328289287250512,0.0446464369704145,0.081369400098219,0.0881761604837435
"Number.of.rooms",0.0805852801418915,0.116004085304043,0.0668553870894273,0.0615675253726119,0.0865874556532221,0.0542082990641201,0.033135285919504,0.0667583788935067,0.0641875123686272,0.0850883439479558
"Plumbing.facilitiesYes",-1.15372325871689,-0.939646203250198,-1.34824306499149,-0.667144196918566,-0.395077121144693,0.0636415982394289,-0.896240325653944,-1.03438311408436,-0.396799973296037,-0.457749348360747
"Kitchen.facilitiesYes",-1.30183946419815,-0.711065867058588,-0.456436809732191,-0.578450523552033,-0.725710347602155,-0.857715146626128,-0.752310125998872,-0.0911771324828693,-0.833386244086148,-0.0498714990107611
"Length.of.lease2 years",0.246195419671308,0.15088840255412,0.144230549607057,0.217789840423077,0.183347291489008,0.125763428010195,0.161011819637787,0.100362539382426,-0.0213630291112293,-0.0678856054749064
"Length.of.leaseBetween 1 and 2 years",0.255517653003617,-0.149620876547763,-0.156015786912227,0.15923468110589,0.284937932604819,-0.0208263059017993,-0.340753747262227,-0.159100735022008,-0.210197484889473,-0.19527575094
"Length.of.leaseLess than 1 year",-0.110550394994004,0.340954876490862,0.225349592850519,0.190369876908659,0.515590691081215,0.304012795935108,0.065684487705847,0.184685757204043,0.184181012890061,0.0665928393409191
"Length.of.leaseMore than 2 years",-0.0607476627818153,0.221844923967739,0.212832200595058,0.280857602956536,0.152647700339187,0.235013399267127,-0.0506779455176238,0.268306660441376,0.197379108014418,-0.103736945471735
"Length.of.leaseNo lease",0.0851019726361906,0.136949446445286,0.151550669276212,0.250019949626849,0.108385871071078,-0.000330263153031481,0.0672971723339451,0.0860554823823302,0.089996349480796,-0.0356961328233422
"Length.of.leaseOwner-occupied",-0.0405837570495125,0.00534092542091079,-0.00412572924969788,0.0069005871816883,-0.0906296936106871,-0.181994783644821,-0.210910206493677,-0.238535823672633,-0.206993180369401,-0.318835508923208
"Resident.ratingFair",0.980559501154477,0.954593841936243,0.946327347228441,0.867335407460199,0.858511647352624,0.947580580498331,0.85379283484672,0.901000707018054,0.684059950337379,0.955054374624322
"Resident.ratingGood",0.256459044642295,0.231696058652707,0.2624244397657,0.250634673283026,0.172702279231324,0.241521568796419,0.158338754507402,0.288597677920506,0.23093278990185,0.198799929208971
"Resident.ratingPoor",2.32669859420888,2.04547395046513,2.11842650290792,2.27290923275631,1.88084690130179,2.07951528844682,1.82560549050564,1.82677883583488,1.6934043395369,1.87906039722882
"Householder.income",0.000276040798774076,0.0304140279640952,0.00298120007229224,-0.00630872543638884,0.00209455875860122,0.010233981770747,0.0157429609125178,0.00481961628817335,0.00629106703717792,0.0022569399167327
"BoroughBrooklyn",-0.170747150059543,-0.0257639495073471,-0.195681966681949,-0.0104555931051538,-0.159976507081265,-0.104647557512738,-0.206359719094304,-0.0216929494752588,-0.105341246316923,-0.186999218423604
"BoroughManhattan",0.0843351321828645,0.295964701170524,0.0852002330007584,0.0861977154073687,-0.0778196238835571,-0.00495993001387019,-0.215123237963448,0.00200264372397443,-0.146170081609995,-0.0947641116590472
"BoroughQueens",-0.499184857795969,-0.432856459306424,-0.491997232807625,-0.351201821193296,-0.402998064475478,-0.428905281687776,-0.410260795783857,-0.336525346520473,-0.379842253238061,-0.322443300511901
"BoroughStaten Island",-0.118822067360389,-0.286240074716742,-0.435045530825084,-0.208831575151688,-0.307841477443306,-0.253330946114544,-0.351807273904108,-0.516371439676509,-0.437644569312395,-0.455799183050032
